Station ID,Name,Address,Capacity,Physical Configuration,Latitude,Longitude,Location
1297,100 Manufacturers Rd,100 Manufacturers Rd,19,REGULAR,35.063014,-85.310469,POINT (-85.310469 35.063014)
1319,100 Walnut St,100 Walnut St,25,REGULAR,35.055687,-85.307813,POINT (-85.307813 35.055687)
1435,10 North Shore,20 Cherokee Blvd,11,REGULAR,35.0631455,-85.3095094,POINT (-85.3095094 35.0631455)
1349,1216 Broad St,1216 Broad St,15,REGULAR,35.040549,-85.309554,POINT (-85.309554 35.040549)
1351,1826 Carter St,1826 Carter St,15,REGULAR,35.037433,-85.315093,POINT (-85.315093 35.037433)
1299,200 River St Outdoor Chattanooga,200 River St,25,REGULAR,35.06141,-85.306574,POINT (-85.306574 35.06141)
1303,215 Broad St,215 Broad St,19,ELECTRICBIKESTATION,35.053928,-85.310925,POINT (-85.310925 35.053928)
1301,301 Manufacturers Rd,301 Manufacturers Rd,15,REGULAR,35.063304,-85.315211,POINT (-85.315211 35.063304)
1331,400 East Main Street,400 East Main Street,15,REGULAR,35.0342,-85.302458,POINT (-85.302458 35.0342)
1353,500 Georgia Ave,500 Georgia Ave,15,REGULAR,35.050771,-85.305346,POINT (-85.305346 35.050771)
1333,800 E 8th St,800 E 8th St,15,REGULAR,35.043639,-85.297988,POINT (-85.297988 35.043639)
1429,Blue Goose Hollow,Blue Goose Hollow River Park Entrance,19,REGULAR,35.050405,-85.323739,POINT (-85.323739 35.050405)
1363,Broad St & W 10th St,Broad St & W 10th St,15,REGULAR,35.044458,-85.310458,POINT (-85.310458 35.044458)
1343,Broad St & W 4th St,401 Broad St,11,REGULAR,35.05251,-85.310874,POINT (-85.310874 35.05251)
1317,Broad St & W 6th St,Broad St & W 6th St,15,REGULAR,35.049429,-85.310399,POINT (-85.310399 35.049429)
1345,Broad St & W 8th St,735 Broad St,15,REGULAR,35.047205,-85.310675,POINT (-85.310675 35.047205)
1315,Carter St & W 12th St,Carter St & W 12th St,15,REGULAR,35.043367,-85.312762,POINT (-85.312762 35.043367)
1313,Chestnut St & Riverfront Pkwy,100 Riverfront Parkway,19,REGULAR,35.056655,-85.310487,POINT (-85.310487 35.056655)
1430,Curtain Pole,Curtain Pole River Park Entrance,19,REGULAR,35.065416,-85.274031,POINT (-85.274031 35.065416)
1369,Douglas St,Douglas St & Vine St,15,REGULAR,35.048285,-85.300237,POINT (-85.300237 35.048285)
1341,E Main St & Rossville Ave,218 E Main St,15,REGULAR,35.035217,-85.305187,POINT (-85.305187 35.035217)
1321,High St & E 2nd St,High St & E 2nd St,15,REGULAR,35.054161,-85.305448,POINT (-85.305448 35.054161)
1373,Hubert Fry Center Tennessee Riverpark,4310 Amnicola Hwy,25,REGULAR,35.096003,-85.254503,POINT (-85.254503 35.096003)
1307,Market & E 4th Street,Market and E 4th,19,REGULAR,35.052701,-85.309483,POINT (-85.309483 35.052701)
1311,Market St & Cowart St,Market St & Cowart St,19,REGULAR,35.040771,-85.308394,POINT (-85.308394 35.040771)
1305,Market St & E 14th St,Market St & E 14th St,19,REGULAR,35.036904,-85.307269,POINT (-85.307269 35.036904)
1309,Market St & W 12th St,Market St & W 12th St,15,REGULAR,35.042774,-85.309331,POINT (-85.309331 35.042774)
1329,McCallie Ave & Lindsay St,McCallie Ave & Lindsay St,15,REGULAR,35.047319,-85.305834,POINT (-85.305834 35.047319)
1432,Middle St,Middle st,19,REGULAR,35.019621,-85.324018,POINT (-85.324018 35.019621)
1325,Miller Park,928 Market Street,11,REGULAR,35.044895,-85.309299,POINT (-85.309299 35.044895)
1431,MLK and University St,526 E MLK Blvd,15,REGULAR,35.043238,-85.301804,POINT (-85.301804 35.043238)
1327,ML King Blvd & Lindsay St,M.L. King Blvd & Lindsay St,19,REGULAR,35.044973,-85.307015,POINT (-85.307015 35.044973)
1437,North Market,415 N. Market St,11,ELECTRICBIKESTATION,35.066155,-85.309093,POINT (-85.309093 35.066155)
1337,Oak St & Houston St,Oak St & Houston St,15,REGULAR,35.047574,-85.302739,POINT (-85.302739 35.047574)
1335,Oak St & University Greenway,Oak St & University Greenway,15,REGULAR,35.045057,-85.296087,POINT (-85.296087 35.045057)
1421,Pine St. & W. 6th St.,Pine St. & W. 6th St.,15,REGULAR,35.049271,-85.312617,POINT (-85.312617 35.049271)
1323,Power Alley & Riverfront Pkwy,Power Alley & Riverfront Pkwy,17,REGULAR,35.055582,-85.312797,POINT (-85.312797 35.055582)
1420,SpringHill Suites,495 Riverfront Pkwy,15,REGULAR,35.053801,-85.32021,POINT (-85.32021 35.053801)
1438,St Elmo,3917 St Elmo Avenue,19,ELECTRICBIKESTATION,35.0095361,-85.32854099999997,POINT (-85.328541 35.0095361)
1433,Westin Chattanooga,801 Pine Street,11,REGULAR,35.047222,-85.313087,POINT (-85.313087 35.047222)
1347,W Main St & Cowart St,343 W Main St,15,REGULAR,35.037381,-85.310411,POINT (-85.310411 35.037381)
